0 2124.89
1 2056.52
2 2043.73
3 2065.2
4 2041.67
5 1925.96
6 1738.31
7 1685.56
8 1691.44
9 1597.55
10 1344.72
11 1208.42
12 1149.15
13 1103.19
14 874.109
15 671.693
16 541.713
17 368.074
18 267.561
19 44.0066
20 -202.904
21 -320.182
22 -577.711
23 -748.382
24 -888.895
25 -1065.69
26 -1110.14
27 -1168.27
28 -1214.32
29 -1230.88
30 -1321.32
31 -1325.11
32 -1340.56
33 -1328.35
34 -1374.89
35 -1444.3
36 -1437.09
37 -1465.78
38 -1377.76
39 -1318.73
40 -1339.56
41 -1334.35
42 -1348.31
43 -1378.64
44 -1531.66
45 -1564.58
46 -1543.37
47 -1524.64
48 -1596.57
49 -1586.46
50 -1488.16
51 -1485.25
52 -1492.62
53 -1497.41
54 -1546.48
55 -1553.27
56 -1580.61
57 -1559.3
58 -1570.09
59 -1528.95
60 -1420.94
61 -1357.12
62 -1267.87
63 -1256.58
64 -1227.37
65 -1144.48
66 -1155.5
67 -997.667
68 -885.209
69 -753.519
70 -491.01
71 -345.44
72 -212.497
73 -98.0588
74 57.4777
75 140.251
76 241.256
77 400.559
78 554.118
79 784.324
80 908.326
81 1039.61
82 1181.59
83 1253.33
84 1422.22
85 1541.56
86 1725.15
87 1863.7
88 1881.71
89 1948.38
90 1921.59
91 1949.1
92 2139.2
93 2210.34
94 2247.96
95 2234.3
96 2243.51
97 2216.54
98 2199.99
99 2075.26
