0 15748.5
1 18223.5
2 18363.3
3 18297.4
4 18506.5
5 18538.5
6 18573.4
7 18605.9
8 18878
9 18895
10 18052.4
11 17235.1
12 16752.6
13 16340.4
14 16878.3
15 17991.3
16 17983.4
17 17429.3
18 16938.8
19 16166.4
20 15312.5
21 14799.5
22 14140.4
23 13140.4
24 12263.6
25 12255.1
26 12226.2
27 12166
28 12546.2
29 12089.4
30 11315.2
31 10789.7
32 10038.4
33 9345.44
34 9667.05
35 9805.02
36 8928.42
37 7928.42
38 6944.82
39 6450.82
40 5955.7
41 5439.2
42 4916.09
43 4413.59
44 3902.42
45 2902.42
46 2198.41
47 1701.41
48 908.42
49 -91.58
50 -938.635
51 -1469.63
52 -2153.58
53 -3153.58
54 -3719.64
55 -3748.62
56 -4197.05
57 -5182.58
58 -6182.58
59 -7182.58
60 -8182.58
61 -9182.58
62 -10062.5
63 -10580.5
64 -11218.6
65 -12218.6
66 -13218.6
67 -14104.1
68 -14329.7
69 -13976.5
70 -14252.3
71 -15221.6
72 -16221.6
73 -17221.6
74 -18221.6
75 -18974.2
76 -18581.3
77 -18374.2
78 -18839.9
79 -19328.9
80 -20195.6
81 -20686.6
82 -20977.4
83 -21463.9
84 -22245.6
85 -22868.5
86 -23094.6
87 -22977.1
88 -22508.5
89 -21821.4
90 -21092.4
91 -20146.8
92 -18906
93 -14205.9
94 -6796
95 -1929.26
96 675.598
97 3537.75
98 7521.48
99 11623.8
